cluster	gene_name	gene_id	isTF	E9.5VSE10.5_l2fc	E9.5VSE10.5_padj	E10.5VSE11.5_l2fc	E10.5VSE11.5_padj	E11.5VSE12.5_l2fc	E11.5VSE12.5_padj
Ect1	Hoxc13	ENSMUSG00000001655	TRUE	-4.53722736482361	2.39584871271118e-25	NA	NA	NA	NA
Ect1	Fbln5	ENSMUSG00000021186	FALSE	-5.3940378326423	1.15512275574914e-21	1.96504938475944	6.02208724810975e-10	NA	NA
Ect4	Wfikkn1	ENSMUSG00000071192	FALSE	5.29472813457064	2.52617392963355e-31	NA	NA	NA	NA
Ect6	Dgkk	ENSMUSG00000062393	FALSE	1.54174365695897	3.32233170599573e-07	NA	NA	-2.27589176995938	0.00128122561700879
Ect1	Dsg3	ENSMUSG00000056632	FALSE	-6.64392668215259	0.00062575214883356	2.0974503833715	0.000158896786297462	NA	NA
Ect1	Krt14	ENSMUSG00000045545	FALSE	-3.32496475970119	2.29302380755588e-37	1.99589947447881	2.39330085704351e-11	NA	NA
Ect1	Hoxc12	ENSMUSG00000050328	TRUE	-7.64186120248814	0.00025970528838363	2.82897082185637	4.33316386194876e-08	NA	NA
Ect1	Gabrp	ENSMUSG00000020159	FALSE	-7.96506701007414	4.70532222280476e-05	1.96098519275262	2.7314617812412e-05	NA	NA
Ect1	Krt17	ENSMUSG00000035557	FALSE	-3.23653246519665	3.8770263712476e-18	2.30074430431171	2.10825774738984e-14	NA	NA
Ect1	Trp73	ENSMUSG00000029026	TRUE	-2.84729286887902	9.68717373894189e-11	NA	NA	1.51168310427583	8.83880754333275e-05
Ect1	Hoxc11	ENSMUSG00000001656	TRUE	-7.55403129692448	0.000352627274820439	2.5781445907333	1.07157045628192e-06	NA	NA
Ect1	Gjb2	ENSMUSG00000046352	FALSE	-3.93398037702442	2.4534516110281e-24	NA	NA	1.89786975469869	6.2967933501008e-07
Ect1	Tbx1	ENSMUSG00000009097	TRUE	-4.40807736404007	8.95014355845975e-06	2.22352617336813	1.14268523882897e-06	NA	NA
Ect1	Anxa1	ENSMUSG00000024659	FALSE	-7.81157488152788	5.64685215686696e-15	NA	NA	NA	NA
Ect6	Peg10	ENSMUSG00000092035	FALSE	3.18524175939097	1.01931920362968e-24	NA	NA	NA	NA
Ect6	Mest	ENSMUSG00000051855	FALSE	NA	NA	NA	NA	NA	NA
Ect1	Sp9	ENSMUSG00000068859	FALSE	-4.88798645019245	5.34076213096098e-13	NA	NA	NA	NA
Ect1	Otx1	ENSMUSG00000005917	TRUE	-3.28720083079189	0.0142990643049409	3.13504945415828	5.05159042079833e-07	1.93701768407924	6.66031882596666e-05
Ect1	Hoxc10	ENSMUSG00000022484	TRUE	-5.28721624914217	1.47882866633714e-17	NA	NA	NA	NA
Ect1	Afap1l1	ENSMUSG00000033032	FALSE	NA	NA	NA	NA	NA	NA
Ect1	Col17a1	ENSMUSG00000025064	FALSE	-1.86932119669032	1.38749634778541e-08	2.01698239327175	8.2470397870609e-08	NA	NA
