cluster	gene_name	gene_id	isTF	E9.5VSE10.5_l2fc	E9.5VSE10.5_padj	E10.5VSE11.5_l2fc	E10.5VSE11.5_padj	E11.5VSE12.5_l2fc	E11.5VSE12.5_padj
Mes1	Lin28a	ENSMUSG00000050966	TRUE	5.36130852113827	6.27364937776641e-74	-5.39479752052702	1.09901619718728e-12	NA	NA
Mes1	Meis2	ENSMUSG00000027210	TRUE	5.64431326316104	9.43255826540553e-73	-2.11243129719945	0.0148936019937229	NA	NA
Mes1	Hoxc5	ENSMUSG00000022485	TRUE	6.58070582878378	1.7204940223864e-56	NA	NA	NA	NA
Mes3	Pkdcc	ENSMUSG00000024247	FALSE	5.71590164269847	1.91176370188872e-91	-3.01600334611388	2.51895639217556e-06	NA	NA
Mes1	Hoxb6	ENSMUSG00000000690	TRUE	6.74605694680428	4.00378399784509e-43	NA	NA	NA	NA
Mes1	Hoxb5	ENSMUSG00000038700	TRUE	6.51940269797182	1.13791589974115e-41	NA	NA	NA	NA
Mes5	Hoxa13	ENSMUSG00000038203	TRUE	-8.66312652369768	3.09938551900403e-76	NA	NA	NA	NA
Mes1	Meis1	ENSMUSG00000020160	TRUE	4.68346807979127	9.96669543690753e-42	NA	NA	NA	NA
Mes1	Hoxc4	ENSMUSG00000075394	TRUE	5.6900407989845	1.2948334985631e-39	NA	NA	NA	NA
Mes1	Irx3	ENSMUSG00000031734	TRUE	7.30900443510261	2.60775594833603e-56	NA	NA	NA	NA
Mes5	Hoxd12	ENSMUSG00000001823	TRUE	-9.48590714793414	8.58476096508779e-97	NA	NA	NA	NA
Mes1	Jaml	ENSMUSG00000048534	FALSE	4.50441420956982	6.32611333312315e-34	NA	NA	NA	NA
Mes1	Hoxb9	ENSMUSG00000020875	TRUE	5.12846234921395	1.18463892647339e-41	NA	NA	NA	NA
Mes1	Dlk1	ENSMUSG00000040856	FALSE	4.14219259453581	4.6818788119176e-35	NA	NA	NA	NA
Mes1	Hoxb3	ENSMUSG00000048763	TRUE	5.83550444863285	4.57191531860057e-42	NA	NA	NA	NA
Mes1	Hoxb8	ENSMUSG00000056648	TRUE	5.57124120413489	1.37886857627123e-41	NA	NA	NA	NA
Mes1	Rspo2	ENSMUSG00000051920	FALSE	3.8424064931625	4.65411865480845e-26	NA	NA	NA	NA
Mes1	Hoxb4	ENSMUSG00000038692	TRUE	4.98546568744153	1.52514879059275e-26	NA	NA	NA	NA
Mes4	Inhba	ENSMUSG00000041324	FALSE	NA	NA	4.99968027223878	0.0018559352233651	3.56083587431827	3.26614427523497e-14
Mes5	Dlx5	ENSMUSG00000029755	TRUE	-5.2395374205035	7.21776239073973e-19	NA	NA	NA	NA
Mes1	Hgf	ENSMUSG00000028864	FALSE	4.66514672063424	9.89339449050096e-30	NA	NA	NA	NA
Mes1	Cdx1	ENSMUSG00000024619	TRUE	4.54985639983121	6.08489010461706e-27	NA	NA	NA	NA
Mes1	Sema3a	ENSMUSG00000028883	FALSE	3.81642744797398	3.10580128649098e-33	NA	NA	NA	NA
