gene_id	gene_short_name	locus	ECT095_R1	ECT095_R2	ECT105_R1	ECT105_R2	ECT115_R1	ECT115_R2	ECT125_R1	ECT125_R2	MES095_R1	MES095_R2	MES105_R1	MES105_R2	MES115_R1	MES115_R2	MES125_R1	MES125_R2
ENSMUSG00000000001	Gnai3	chr3:108107279-108146146	2579	4562	2701	3608	5655	3586	5637	3871	6311	5211	6898	4138	5489	4258	6019	4296
ENSMUSG00000000003	Pbsn	chrX:77837900-77853623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	chr16:18780446-18811987	512	1010	589	831	1295	661	1023	661	1795	1326	2759	1220	1691	1313	1449	1023
ENSMUSG00000000037	Scml2	chrX:161117192-161258213	29	103	35	90	120	66	56	71	82	102	113	87	149	92	109	144
ENSMUSG00000000049	Apoh	chr11:108343353-108414396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000000056	Narf	chr11:121237252-121255856	776	1327	909	1189	1991	1293	2174	1459	1076	734	2348	1083	2272	1282	2470	1733
ENSMUSG00000000058	Cav2	chr6:17281184-17289115	30	64	63	107	149	115	278	171	80	27	63	37	52	41	85	55
ENSMUSG00000000078	Klf6	chr13:5861481-5870394	196	404	229	380	381	432	626	425	306	346	379	236	341	234	513	339
ENSMUSG00000000085	Scmh1	chr4:120405306-120530184	275	534	378	534	921	534	807	610	677	590	1308	725	961	683	676	560
ENSMUSG00000000088	Cox5a	chr9:57521278-57532426	1075	1522	1211	1124	2305	1187	2167	1120	3355	1866	3982	1339	2319	1351	2621	1207
ENSMUSG00000000093	Tbx2	chr11:85832550-85841948	176	167	103	36	1137	58	84	76	581	364	1036	556	2392	1108	1980	1256
ENSMUSG00000000094	Tbx4	chr11:85886421-85916097	1	5	10	21	51	10	6	6	28	14	305	191	149	153	337	149
ENSMUSG00000000103	Zfy2	chrY:2106014-2170409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
