gene_id	gene_short_name	locus	E9.5_l2fc	E9.5_padj	E10.5_l2fc	E10.5_padj	E11.5_l2fc	E11.5_padj	E12.5_l2fc	E12.5_padj	is.ECT	is.MES	is.never.signif	status
ENSMUSG00000000001	Gnai3	chr3:108107279-108146146	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000003	Pbsn	chrX:77837900-77853623	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000028	Cdc45	chr16:18780446-18811987	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000037	Scml2	chrX:161117192-161258213	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000049	Apoh	chr11:108343353-108414396	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000056	Narf	chr11:121237252-121255856	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000058	Cav2	chr6:17281184-17289115	NA	NA	NA	NA	NA	NA	-1.75985777245368	0.000240847374096157	TRUE	FALSE	FALSE	ECT_spe
ENSMUSG00000000078	Klf6	chr13:5861481-5870394	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000085	Scmh1	chr4:120405306-120530184	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000088	Cox5a	chr9:57521278-57532426	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	TRUE	None
ENSMUSG00000000093	Tbx2	chr11:85832550-85841948	NA	NA	2.70440740477538	1.16914599717547e-06	NA	NA	4.21275693515881	7.98440386052901e-36	FALSE	TRUE	FALSE	MES_spe
ENSMUSG00000000094	Tbx4	chr11:85886421-85916097	NA	NA	3.35885078770747	9.17218859067775e-10	2.55561657884925	0.00126091007064409	5.18100490152296	2.18340957461248e-14	FALSE	TRUE	FALSE	MES_spe
