gene_id	gene_short_name	locus	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16
ENSMUSG00000061527	Krt5	chr15:101707069-101712898	-0.0983811196327507	0.0437515364537494	0.0163073125029378	-0.0475766381703972	-0.0760082753277022	-0.0579460093103655	0.0821474959089747	-0.11967193968639	-0.0851155858483777	-0.0716191141114118	-0.0132140100855155	-0.0495597766238023	0.109517310898266	-0.0719713639527153	-0.0204827733514932	0.60258031966062
ENSMUSG00000025219	Fgf8	chr19:45736797-45742915	-0.0919436986594978	-0.0255340026987714	0.155703778074494	-0.0585400923998296	0.0334944644256032	-0.0204327719650522	0.0703054376924638	-0.0418827177192097	-0.00155147254557092	-0.0527561767062328	0.0424786190756436	-0.0416208149205935	0.00580454757278557	-0.000441002752282055	-0.0682703314122832	-0.140796101537814
ENSMUSG00000045545	Krt14	chr11:100203161-100207548	-0.082801446676001	0.0861690808150628	-0.0815835001545152	-0.0843396483888517	-0.00827170140347266	-0.0507597438719699	-0.000152421277634122	-0.17326588688134	-0.109503355399374	-0.0559951196565139	0.054542249811407	0.0456322623927896	0.122392596106851	-0.0767450320866008	0.0891031092299002	0.397020357282419
ENSMUSG00000052217	Hbb-bh1	chr7:103841636-103843164	0.0776707234655018	-0.0931729409417812	0.102556752742394	-0.048571346531298	-0.0630667087453794	0.122530509757411	0.0542975915974169	-0.206030918374324	-0.103275888210242	0.124227947950813	0.159187964799004	-0.00828680371335482	-0.04935722164575	0.067120253210993	0.00484090671634121	-0.032756528720852
ENSMUSG00000019851	Perp	chr10:18845019-18857073	-0.0911783681088388	0.00185194181123855	0.0304194495105397	-0.00261929905837326	-0.0744174186406123	-0.0598849741436433	0.0136334921528211	-0.0800218989932352	-0.0407345364717518	-0.0150372194040083	-0.0299839042150494	-0.0320263934801986	0.0662140167878722	0.0129802508812851	-0.0422980503980405	-0.178304388121231
ENSMUSG00000033227	Wnt6	chr1:74771891-74785322	-0.0897416885702621	-0.00831592336347041	0.0553021537080959	-0.00325482056240327	-0.0547396737515674	-0.0834118469283706	0.0475978237756237	-0.0657572777480418	-0.0271024046485356	-0.0357948175610088	0.0287820072333957	-0.000825190809717408	0.0274394105399202	-0.0526058217102012	-0.064792626002113	-0.0247094896474077
ENSMUSG00000055609	Hba-x	chr11:32276399-32278116	0.0827227256140712	-0.0491345309948546	0.0860519266415509	0.00148165662366505	-0.0388271476969906	0.136519393777043	0.059796698998998	-0.192292430360224	-0.180284644217494	0.105728229875032	0.139049902339989	0.0047586208596489	-0.0663330794761627	0.00340362645922968	0.0602937782540037	-0.128714027663605
ENSMUSG00000047281	Sfn	chr4:133600555-133602168	-0.0866527132490815	0.0288451634207795	0.014823666784153	-0.0545061657960635	-0.0096500155030169	-0.0465038040256086	0.0459656673899845	-0.110137268613827	-0.0154630580300961	0.0319026800085036	0.0199365903830575	0.00675114589107722	0.030846457148744	-0.0856717461078183	0.0153801465806964	0.0664609123539843
ENSMUSG00000026185	Igfbp5	chr1:72857931-72874884	-0.086484631602316	-0.0372132525759478	0.00471675462676548	-0.0106893124543724	0.012081366516954	-0.0816000094654452	-0.021852892090542	-0.0891599911653775	-0.00553220321007913	-0.0245020707977403	0.058193985091369	-0.0650696918285935	0.0661910210284484	-0.0294149085531895	-0.00767005657183489	0.00853721844709386
ENSMUSG00000023906	Cldn6	chr17:23679364-23682446	-0.0859948756969591	-0.0254560511669736	0.0555547273342431	-0.000526194346488919	-0.0643373903309027	-0.0531592233756305	0.00675943681802454	-0.0688010951466894	-0.0205113746802893	-0.00177087242090273	-0.0226386467396417	-0.0162860626008273	0.0370760374530549	-0.138790347910228	-0.0930683271764826	0.0214994821688318
