gene_id	gene_short_name	locus	FPKM_ECT095_R1	FPKM_ECT095_R2	FPKM_ECT105_R1	FPKM_ECT105_R2	FPKM_ECT115_R1	FPKM_ECT115_R2	FPKM_ECT125_R1	FPKM_ECT125_R2	FPKM_MES095_R1	FPKM_MES095_R2	FPKM_MES105_R1	FPKM_MES105_R2	FPKM_MES115_R1	FPKM_MES115_R2	FPKM_MES125_R1	FPKM_MES125_R2
ENSMUSG00000000001	Gnai3	chr3:108107279-108146146	64.2161	68.0302	55.7101	60.8826	58.7193	61.6404	61.8049	65.9924	67.6381	79.2386	57.4027	75.5609	62.7001	78.3782	65.0886	75.0783
ENSMUSG00000000003	Pbsn	chrX:77837900-77853623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	chr16:18780446-18811987	20.7458	23.3376	18.9772	21.4792	22.0112	18.4745	17.5471	17.3356	30.0732	31.7099	36.6653	35.388	32.2579	38.3889	25.3179	28.0064
ENSMUSG00000000037	Scml2	chrX:161117192-161258213	0.743012	1.32536	0.69029	1.34257	1.22178	1.02216	0.591481	0.932916	0.803739	1.39089	0.876923	1.30945	1.49312	1.572	1.04743	2.0789
ENSMUSG00000000049	Apoh	chr11:108343353-108414396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0307566	0
ENSMUSG00000000056	Narf	chr11:121237252-121255856	14.7768	14.4827	14.1589	14.9436	15.507	16.2104	18.0588	18.3948	8.75971	8.21395	14.6749	14.7707	19.6885	17.4059	20.303	22.5109
ENSMUSG00000000058	Cav2	chr6:17281184-17289115	1.35548	1.15818	2.19309	3.45911	2.63573	3.4584	4.58776	4.13776	1.13566	0.604308	0.785982	0.819095	0.875684	1.49652	1.52117	1.53882
ENSMUSG00000000078	Klf6	chr13:5861481-5870394	3.94862	4.71746	3.78547	4.99609	3.18276	5.8189	5.49005	5.6523	2.62307	4.1118	2.50209	3.35081	3.08174	3.38679	4.4267	4.64768
ENSMUSG00000000085	Scmh1	chr4:120405306-120530184	7.70457	9.32279	8.4676	9.70782	10.6631	9.81023	10.0791	11.2458	7.58729	10.3418	11.1612	14.6913	12.1816	14.676	8.43677	11.6918
ENSMUSG00000000088	Cox5a	chr9:57521278-57532426	136.451	112.333	125.064	94.6199	119.782	100.375	119.318	95.4941	179.57	141.364	161.02	122.877	130.912	124.861	143.337	104.713
ENSMUSG00000000093	Tbx2	chr11:85832550-85841948	4.01407	2.2369	1.96464	0.540451	10.8725	0.849486	0.848162	1.16774	5.57342	4.9849	7.90111	9.12682	25.0824	18.4665	19.6023	19.7608
ENSMUSG00000000094	Tbx4	chr11:85886421-85916097	0.0287541	0.0835661	0.212426	0.359521	0.584461	0.192767	0.0751288	0.114472	0.310373	0.235659	2.81768	3.7826	1.84872	3.07336	4.05709	2.81891
ENSMUSG00000000103	Zfy2	chrY:2106014-2170409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	chr11:95568817-95587735	37.5196	35.5644	11.0457	6.20675	24.7859	4.5355	3.82792	2.17895	16.2063	15.5902	3.61435	7.14561	36.1983	23.2819	45.3841	32.6772
ENSMUSG00000000125	Wnt3	chr11:103774149-103817957	16.3261	16.1106	26.6104	24.3913	14.7901	25.053	34.2588	29.0356	0.0706448	0.0489685	0.374748	0.216355	0.35274	0.377717	0.0237974	0.0941558
ENSMUSG00000000126	Wnt9a	chr11:59306927-59333552	0.359143	0.685664	0.52607	0.607494	0.425361	0.618894	0.535874	0.54432	0.0545605	0.0453833	0.0423432	0.0546857	0.175133	0.147395	0.341854	0.314144
ENSMUSG00000000127	Fer	chr17:63896017-64139494	6.52042	7.21825	6.46622	7.11293	5.62496	7.03943	6.55944	6.51324	6.47769	6.37161	6.29071	7.05041	6.56898	7.17785	6.17622	7.70303
ENSMUSG00000000131	Xpo6	chr7:126101714-126200501	28.2521	32.426	29.6755	30.3208	30.5811	28.9934	34.209	29.0171	34.2686	47.847	34.2519	36.6467	35.0037	35.7736	27.7565	34.2378
ENSMUSG00000000134	Tfe3	chrX:7762657-7775202	19.1509	15.5958	13.9225	11.4965	17.0363	13.4186	13.8431	10.577	13.3434	12.4498	18.8576	14.233	18.7219	14.7258	17.6905	15.3503
ENSMUSG00000000142	Axin2	chr11:108920348-108950783	22.8358	34.5518	52.9278	46.3799	19.9328	33.5703	24.7872	29.4232	18.021	36.9042	27.2789	29.3382	17.8505	33.5784	40.1467	43.3511
ENSMUSG00000000148	Brat1	chr5:140705010-140719379	5.51966	6.25124	8.19295	6.79808	5.31941	6.22301	8.26999	6.98135	5.29494	5.56756	7.0902	5.84602	5.1523	6.19696	7.52899	6.98058
ENSMUSG00000000149	Gna12	chr5:140758407-140830431	34.286	31.8229	48.3122	38.928	54.8839	50.2619	62.0745	48.3249	28.414	27.7502	35.9424	35.7053	41.1559	36.1425	37.929	36.3386
ENSMUSG00000000154	Slc22a18	chr7:143473735-143499334	1.28373	0.637708	0.412053	0.403769	0.671166	0.523624	0.558838	0.77733	0.0474025	0.0657613	0.147437	0.118913	0.15237	0.12018	0.479999	0.455699
ENSMUSG00000000157	Itgb2l	chr16:96422287-96443619	0	0	0	0	0	0.0216585	0	0	0	0	0	0.022972	0	0.0232186	0	0
ENSMUSG00000000159	Igsf5	chr16:96361667-96525580	0.0825574	0.0636505	0	0	0	0	0	0	0.456408	0.230001	0	0	5.47201e-09	2.67283e-07	3.10255e-08	1.35036e-08
ENSMUSG00000000167	Pih1d2	chr9:50617320-50624997	2.39452	2.09038	1.50136	1.60483	1.65793	2.27076	1.18005	1.96492	1.35526	1.47482	1.08041	1.49325	1.45008	1.50929	0.874213	1.04356
ENSMUSG00000000168	Dlat	chr9:50634632-50659780	14.049	14.0466	12.1335	11.9475	13.8553	12.7513	13.9949	13.9217	16.3718	16.1017	15.2317	14.6491	13.6661	14.1093	10.7035	12.9918
ENSMUSG00000000171	Sdhd	chr9:50596356-50603812	94.9355	80.7949	71.0892	58.4923	76.0649	59.729	77.7189	55.0803	131.306	88.5491	99.1685	81.6832	102.685	90.7072	94.2512	87.0987
ENSMUSG00000000182	Fgf23	chr6:127072901-127081408	0	0	0	0	0	0	0	0	0.0399308	0	0	0	0	0	0.0403532	0
ENSMUSG00000000183	Fgf6	chr6:127015585-127028187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	chr6:127125161-127152193	95.5096	106.144	139.086	130.476	106.523	127.047	130.276	120.981	56.0883	75.3773	87.1568	90.8144	140.643	111.369	166.672	170.701
ENSMUSG00000000194	Gpr107	chr2:31152315-31218775	12.6274	12.5054	18.3768	17.7629	15.3801	18.71	15.5305	15.1679	8.27789	8.73379	9.98288	9.8533	9.44453	9.7398	10.4956	10.6331
ENSMUSG00000000197	Nalcn	chr14:123276633-123627144	0.0119513	0.00694429	0.00980638	0.0157233	0	0.0160184	0.0572294	0.0792701	0	0	0	0	0	0	0	0.0081332
ENSMUSG00000000202	Btbd17	chr11:114791216-114795897	0	0	0	0	0	0	0	0	0	0.0292423	0	0.0352363	0.022569	0	0	0
ENSMUSG00000000204	Slfn4	chr11:83175185-83190216	0	0.0133544	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000214	Th	chr7:142892751-142931128	1.16343	1.94692	1.60379	1.4388	0.11578	0.498994	0.202577	0.246935	0	0.027449	0	0	0	0	0	0.0316668
ENSMUSG00000000215	Ins2	chr7:142678655-142743381	0	0.053875	0	0	0	0	0	0	0	0	0	0	0	0	0	0
