gene_id	gene_short_name	locus	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
ENSMUSG00000032394	Igdcc3	chr9:65141188-65185872	0.0170584744358201	0.00952573248942193	0.0161055325593439	0.00534107442626238	0.000833254811499343	3.96548987296418e-07	0.000660149146552859	0.76388735228358
ENSMUSG00000001823	Hoxd12	chr2:74675012-74677705	0.0149109046980932	0.0112401383963441	3.06358196176662e-05	0.000574318643409553	0.00212949678618624	0.001521116622093	0.000237054044626553	7.81528604700269e-06
ENSMUSG00000024247	Pkdcc	chr17:83215291-83225070	0.0153107474810809	0.00267346180687357	0.000129319515000742	0.00169325335994408	0.00294223862882202	0.000963310504215097	0.011615894765293	0.116167985531293
ENSMUSG00000001819	Hoxd13	chr2:74668309-74671599	0.012403300263782	0.00687316236260905	0.00191195700411865	0.000101881311112871	0.000342898245172068	0.00100656174393806	0.00256465867749103	0.0131932382731992
ENSMUSG00000050966	Lin28a	chr4:134003329-134018841	0.0137094905185678	0.00175085880151213	0.000367340185831781	0.000821629725494696	0.000552623139636641	0.000790833169187557	0.00656268669080161	0.000595373834948287
ENSMUSG00000038203	Hoxa13	chr6:52257693-52260880	0.0121875323215884	0.00681214018147164	0.000897917192685967	0.00193817539200945	2.18528107438407e-05	2.87256717031572e-05	3.58607258595172e-06	0.0137845041627253
ENSMUSG00000024521	Pmaip1	chr18:66458603-66465550	0.00806456627006656	0.0170604603293051	0.00409626635824778	3.41126972254899e-05	0.000199022839612289	0.00192016923106375	0.00269426231789503	0.00967725668294928
ENSMUSG00000025927	Tfap2b	chr1:19208913-19238576	0.0100807166767725	0.00371022959813872	4.09797308110012e-05	0.00657469851379913	0.0014099319687358	0.000899486952615235	0.00176274370494106	2.28622118128652e-05
ENSMUSG00000023232	Serinc2	chr4:130253494-130279205	0.0109773086708132	0.00032119756055404	5.26455289764324e-05	2.36950384112682e-05	0.000938909545212713	0.000735033687028921	0.00127993749539641	0.000762692437721573
ENSMUSG00000027210	Meis2	chr2:115863063-116065839	0.0100879905989952	0.00301522136693095	0.000515694341886108	7.45567653185319e-05	0.000377726337002303	0.000105441149672666	0.00628727184958588	2.13824659115123e-05
ENSMUSG00000040856	Dlk1	chr12:109452848-109463336	0.0102176290463275	0.000579874408280259	9.90143239683887e-05	0.000524706290157355	0.000665999609119503	0.00294587146450366	0.000201713727829419	2.93909435771184e-05
ENSMUSG00000029755	Dlx5	chr6:6877804-6882085	0.00788681190323793	2.6555952704484e-05	1.99323321673012e-05	0.00185533977102128	0.00221361849673978	4.73638731028332e-06	0.000529907382367908	1.90587040427509e-06
ENSMUSG00000075334	Rprm	chr2:54084092-54085552	0.00711615804312365	0.00123125693170907	0.00544400543996042	0.00545442839189511	0.00303596039050974	0.000304519634009285	0.000646320027338556	9.06760732390423e-05
ENSMUSG00000078249	Hmga1b	chr11:120762793-120764419	0.000851080631602136	0.0101196979498398	0.0265949391543532	0.0266951774592883	0.144058614169265	0.00168129547627664	0.00465609163749737	0.000667672367220204
ENSMUSG00000063415	Cyp26b1	chr6:84571413-84593908	0.00549611030361679	0.00724105781951724	0.00265675451772149	0.00257585899650904	7.21674804680433e-05	6.30544076329553e-06	0.000460022169343912	0.000337864771119716
ENSMUSG00000000690	Hoxb6	chr11:96292475-96301569	0.00656391160245225	0.00379680989844637	0.000503698708642803	0.000213132569027628	9.468741684402e-06	7.93539097332298e-05	8.39500975749741e-06	2.70891751142968e-06
ENSMUSG00000013584	Aldh1a2	chr9:71215788-71296243	0.000873498493690105	0.0227659301398602	0.00114814547720463	0.00113431592771194	0.0262747024287551	0.000299824150032148	0.000738417370546812	0.00134533997632214
ENSMUSG00000031734	Irx3	chr8:91798524-91802067	0.00596072170293969	0.00510902444751725	0.000157563583446898	0.000413722180348159	0.0002429324947188	0.00165307398355512	5.63361157683893e-05	0.000116196019848175
ENSMUSG00000063804	Lin28b	chr10:45376619-45470201	0.00715672697182707	0.000571752941904814	0.000299719866933743	0.00103179229635376	0.000165226850163028	0.000506348535720667	3.3064044269466e-05	0.000224655803936897
ENSMUSG00000036030	Prtg	chr9:72806873-72917291	0.00680919161974235	0.000241545039278724	3.26928048125588e-05	0.00107538448047205	9.70264826074228e-06	0.00208523524939081	0.00051230088000595	6.67549509348226e-05
ENSMUSG00000073940	Hbb-bt	chr7:103812523-103813996	0.00648754867908616	5.31978476817962e-05	0.00129856692236184	0.00156994798970974	0.0146568447450655	0.000505569252025724	0.00151316814039201	0.000583832442961791
ENSMUSG00000018474	Chd3	chr11:69343272-69369406	0.00617683582488776	0.000165866004170174	0.000372620170774784	0.000161278436180034	0.00345829346557383	0.00477011326700269	0.000113187360473721	0.000578529161588781
ENSMUSG00000020160	Meis1	chr11:18879816-19018985	0.00570788741771887	0.00171553042086116	0.000721907743971433	7.3137478485354e-06	2.60995253309424e-05	0.00129987285162673	0.00477715394936563	3.36767234209115e-05
ENSMUSG00000022485	Hoxc5	chr15:103013814-103017429	0.00533141446823201	0.00302609000535145	0.000577447293743981	0.000569133885251448	0.000308608143554424	0.000114238284147447	0.000600480821161114	9.80434547552468e-05
ENSMUSG00000001911	Nfix	chr8:84704711-84800344	0.00416821666201294	0.00671609962330565	0.000539828809405066	0.00278994339726274	4.49946722860502e-05	0.000226631594772834	0.000610632186335518	0.000174286162723416
ENSMUSG00000027570	Col9a3	chr2:180597789-180622189	0.00424308176786926	0.00617234718273445	6.95384787568298e-05	0.00104420464260225	0.00566179943368386	2.91939623421396e-05	0.00145533399583861	0.000168200098023212
