gene_id	gene_short_name	locus	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
ENSMUSG00000045545	Krt14	chr11:100203161-100207548	0.0147815482411139	0.000122158865154622	9.94578009433069e-05	1.21455475077033e-05	0.000117183421070063	0.00174923234075921	0.00344415140602789	0.113217786884551
ENSMUSG00000020159	Gabrp	chr11:33550780-33578959	0.0138456347090642	0.000665629432021119	0.000700553353313886	0.00105982100085292	0.00130673731222473	0.0013850847658872	3.82476451336091e-05	0.168974539686676
ENSMUSG00000052217	Hbb-bh1	chr7:103841636-103843164	0.0113707970180924	0.00112606531587276	0.00505916336768024	0.000291072743013789	0.0699292621414255	0.00863827424262732	0.00285402321221931	0.246993281431397
ENSMUSG00000032394	Igdcc3	chr9:65141188-65185872	0.0121167775866007	0.00616273496646527	0.000433090887091786	0.0026500782858314	0.00156170656877649	0.00139168656669855	0.000621304282223573	0.0924116499509904
ENSMUSG00000035557	Krt17	chr11:100256216-100261029	0.0138605061710311	3.82930216729145e-06	6.62051834341448e-05	0.000206839930300113	0.00140960644052033	0.00471765532401772	3.96945523633986e-07	0.000489496052817825
ENSMUSG00000029288	Ambn	chr5:88455990-88468531	0.0113048728268475	0.00374627233321647	0.00312906749837843	6.71529942450934e-05	0.00361004040274351	0.00568153258472438	4.98866158832437e-06	2.76277798577346e-06
ENSMUSG00000050966	Lin28a	chr4:134003329-134018841	0.0123499838109098	7.2660548348901e-05	0.00135174806663154	0.000823485615924538	0.00353922497191175	0.000238125747819075	0.000370309658512136	0.0102003899106317
ENSMUSG00000050917	Fgf4	chr7:144847366-144865243	0.000153423306656399	0.0338589891119908	0.00182844802732655	0.0228231437403561	2.08169657687655e-07	0.000126550279401444	0.000369115708548213	0.00098187441872106
ENSMUSG00000078249	Hmga1b	chr11:120762793-120764419	4.36137102347212e-05	0.0187652551958874	0.0160573661535731	0.0231271743280243	0.00198427460300986	0.143046499453567	0.0192472925663185	0.00048258090142962
ENSMUSG00000050328	Hoxc12	chr15:102936756-102938609	0.0103293194973724	0.000985638562498511	1.04370864223291e-05	0.00116705934903326	0.000982467723991195	0.00167106269029568	0.000922180204705138	0.000237706454693156
ENSMUSG00000092035	Peg10	chr6:4747305-4760517	0.010165897744065	0.000301183807414431	0.000139852112214274	0.00224608441582503	0.000794762957831982	7.21499503021868e-05	0.00204895725905104	0.000396582583835883
ENSMUSG00000046352	Gjb2	chr14:57098599-57104702	0.0101013583555498	0.000103147261084591	0.000769258509828518	0.00250406820299043	2.98840856564315e-08	0.00103400898288462	0.00242704865951549	0.00804936852320132
ENSMUSG00000021186	Fbln5	chr12:101746564-101819055	0.00960575627217213	0.00150423222948259	0.000544682381434218	0.000925265871820535	0.00251867708221384	0.00100141061041078	0.000615975038167024	0.000246540100102655
ENSMUSG00000055609	Hba-x	chr11:32276399-32278116	0.00705569400059456	0.000471752386754629	0.00457410685454349	9.60067703503442e-05	0.0750843165862143	0.0270072868051208	0.00265418825383506	0.000331746158469971
ENSMUSG00000024659	Anxa1	chr19:20373427-20390944	0.00902831306263976	0.00215503547357392	0.000409084829533645	0.000325329577245273	0.000815212093603605	0.000146820070997441	5.22881445044422e-05	9.52352305965637e-06
ENSMUSG00000005917	Otx1	chr11:21994763-22002897	0.00833438080322644	0.00380677422533243	1.22299738407053e-05	0.000962933722812247	0.000104244668019867	0.000164461356573692	0.00011592776243733	0.000548016630649124
ENSMUSG00000025064	Col17a1	chr19:47646343-47692094	0.00888462015897942	0.000608686024370424	0.000168326352878552	0.00034187056790537	0.00136526398499517	0.000449826963164227	0.000436303604129585	0.000211917226248953
ENSMUSG00000001819	Hoxd13	chr2:74668309-74671599	0.00406451447215611	0.0069356947034853	0.0145485845499306	0.0133467329176035	0.00209733411958769	0.00124813907268268	0.00243629963055203	7.35822569698965e-05
ENSMUSG00000001655	Hoxc13	chr15:102921102-102928814	0.00777270428373312	0.00106312772789701	0.000175066734336745	0.000302075003081682	0.000552417184763227	0.00030753984113259	0.00308734995403848	0.000469746152757214
ENSMUSG00000036030	Prtg	chr9:72806873-72917291	0.00768543654915133	0.000712404632341458	0.00103857384570594	1.99059164062012e-06	8.54412809704697e-05	5.92244367053928e-05	0.00020597979489619	0.000185534083039863
ENSMUSG00000021508	Cxcl14	chr13:56288642-56296551	0.00739561790649772	0.000437153455341275	4.3820300231357e-07	0.00103337515901466	1.55523797146795e-05	1.71778782960255e-05	0.00444090019622994	0.000853357840538651
ENSMUSG00000001473	Tubb6	chr18:67390716-67402748	0.00369491412494389	0.0139236151192362	4.0347637599064e-06	0.00358583908018849	6.46989659310281e-06	0.000415507531664486	0.000390160628380238	0.00264999552644498
ENSMUSG00000021950	Anxa8	chr14:34085980-34100571	0.0065891874173346	0.00262904138966371	0.000991737062416275	0.000650642699899513	0.0013968847872019	7.01645464407445e-05	0.00221747229472849	0.000100597432268406
ENSMUSG00000001823	Hoxd12	chr2:74675012-74677705	0.00210119589898255	0.00798169048595316	0.0201206063008481	0.00579981078848555	0.00321050882097403	0.00120940216282766	0.00601861709449353	6.46803697108154e-05
ENSMUSG00000040055	Gjb6	chr14:57123302-57133611	0.00599016827067984	0.00252293775466075	0.00202924700640399	0.00135151961746594	0.00177795435530495	3.9369677111038e-05	0.00216231526263436	0.000132795617047344
ENSMUSG00000051397	Tacstd2	chr6:67534061-67535796	0.00561174957092216	0.0037298879298996	6.91290479201264e-06	0.00213985720616268	0.000375292704198972	0.000693446653161403	4.78953683297393e-05	0.00848902752048226
ENSMUSG00000034226	Rhov	chr2:119269200-119271272	0.00513919268490782	0.00506962567513403	0.000670548710032178	0.00204910342119616	0.000118818811517146	0.00234206246759261	0.000867802206685216	0.000364359238463499
ENSMUSG00000028681	Ptch2	chr4:117096074-117115383	0.000419130730416004	0.0222710445968202	1.45337134066666e-06	0.00189423422522851	0.00334086281356923	0.0170149955887202	0.000125509819257876	7.98230396966817e-05
ENSMUSG00000001656	Hoxc11	chr15:102954426-102957708	0.00617114222002462	0.00106275829813194	4.16790165661307e-05	4.63508218862872e-05	0.00124553250168773	0.00302189988149251	0.00135715747000764	0.000453976304572179
ENSMUSG00000009097	Tbx1	chr16:18580978-18590671	0.00635939249322949	0.000180200940597935	1.11380991107244e-05	0.000308298466766022	0.000429270114526816	0.00366521144884135	0.00110222007644915	0.0001662417577682
ENSMUSG00000024619	Cdx1	chr18:61018861-61036199	0.00586397862527391	0.00196143239080853	6.56737809912386e-06	0.00072594364310798	0.000342196690389355	0.000365372577301163	3.29061051754981e-06	3.68681727659018e-05
ENSMUSG00000022485	Hoxc5	chr15:103013814-103017429	0.00610014016919085	1.09941596425212e-05	0.00144423288219351	0.000140136003077882	0.0020181606184929	0.000283636199383494	0.000604989818213497	0.000193667464948218
ENSMUSG00000022484	Hoxc10	chr15:102966795-102971893	0.00583218161109865	0.00176402086510274	0.000143185275814157	9.97712196263047e-05	8.46787073686045e-05	0.000574428667149155	0.00109343230260233	0.000133530098046535
ENSMUSG00000031073	Fgf15	chr7:144896530-144900953	0.000213999743061913	0.0121923391805151	1.98508344494721e-07	0.0322186439411679	0.0031896332562176	0.0338779774469025	0.00659514990406032	0.000645259375164127
ENSMUSG00000071192	Wfikkn1	chr17:25877629-25880305	0.00502382578993321	0.00422921398481418	2.10991989197672e-05	0.000534438199810498	0.00199559768711909	0.000680215318906578	1.66050146004906e-05	0.000108846505647233
