gene_id gene_short_name locus ECT095_R1 ECT095_R2 ECT105_R1 ECT105_R2 ECT115_R1 ECT115_R2 ECT125_R1 ECT125_R2 MES095_R1 MES095_R2 MES105_R1 MES105_R2 MES115_R1 MES115_R2 MES125_R1 MES125_R2
ENSMUSG00000000125 Wnt3 chr11:103774149-103817957 597 1012 1183 1354 1304 1369 2870 1592 6 3 43 12 29 19 2 7
ENSMUSG00000000266 Mid2 chrX:140664598-140767715 363 809 531 879 849 815 1385 1108 124 99 100 65 143 74 121 109
ENSMUSG00000000303 Cdh1 chr8:106603350-106670246 4464 6147 7927 8122 7783 7287 9549 5976 41 30 244 32 147 64 29 5
ENSMUSG00000000402 Egfl6 chrX:166523006-166585720 66 96 252 283 206 183 188 113 8 1 36 10 30 12 33 25
ENSMUSG00000000673 Haao chr17:83831355-83846790 57 60 95 89 209 96 364 90 0 1 2 0 3 1 1 0
ENSMUSG00000000915 Hip1r chr5:123973627-124005558 541 685 635 842 1427 828 2024 1180 406 241 605 267 475 270 325 295
ENSMUSG00000001025 S100a6 chr3:90612881-90614414 279 356 566 552 656 631 413 323 24 14 64 22 48 18 71 23
ENSMUSG00000001247 Lsr chr7:30957769-30973464 1719 2411 2292 2441 3391 2283 3236 1716 443 209 1038 492 1024 426 1363 520
ENSMUSG00000001249 Hpn chr7:31098724-31115290 298 428 425 366 377 287 263 191 20 17 24 6 15 10 10 9
ENSMUSG00000001435 Col18a1 chr10:77052177-77166548 19436 25299 31984 26156 39934 24945 48827 22922 5097 2967 8234 2528 6537 2542 5867 2405
ENSMUSG00000001494 Sost chr11:101962457-101967015 457 574 1577 1533 2220 2402 949 1293 10 10 73 8 60 36 8 14
ENSMUSG00000001504 Irx2 chr13:72628819-72634198 136 174 206 371 255 286 286 230 54 74 15 10 29 10 126 46
ENSMUSG00000001507 Itga3 chr11:95044473-95076801 6773 9555 6963 6841 9571 6958 10121 6118 325 179 402 121 358 129 254 86
ENSMUSG00000001510 Dlx3 chr11:95120118-95125296 1487 3003 1514 1596 3219 2464 6516 2858 20 15 50 12 138 30 487 96
ENSMUSG00000001542 Ell2 chr13:75706756-75772364 405 788 469 766 814 870 827 760 231 240 149 133 214 140 181 206
ENSMUSG00000001552 Jup chr11:100370618-100397749 2623 3792 3575 3614 6885 4572 10426 4965 1062 632 1594 568 1726 623 2026 783
ENSMUSG00000001583 Tnk1 chr11:69851004-69858730 52 165 97 269 176 241 349 297 2 3 6 2 6 9 5 5
ENSMUSG00000001604 Tcea3 chr4:136247951-136274898 94 127 131 147 159 122 158 125 26 7 36 7 23 21 22 7
ENSMUSG00000001655 Hoxc13 chr15:102921102-102928814 9 31 399 498 1320 959 2720 1580 1 0 11 1 26 15 3 0
ENSMUSG00000001657 Hoxc8 chr15:102990606-102993821 754 1165 976 1072 405 576 109 175 86 65 18 6 9 4 0 0
